INFO - 2024-02-25 13:08:30,712 - Listening to messages from backend. 
INFO - 2024-02-25 13:10:07,095 - API - New message session_id:8b116 Input: hello 
WARNING - 2024-02-25 13:10:12,079 - Attribute lexi_learns is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,083 - Attribute lexi_learns is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,085 - Attribute lexi_learns is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,088 - Attribute lexi_learns is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,092 - Attribute lexi_learns is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,096 - Attribute gmail_access is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,099 - Attribute gmail_access is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,102 - Attribute gmail_access is not present in session data. Permission denied. Check command Permission denied. 
WARNING - 2024-02-25 13:10:12,104 - Attribute google_calendar_access is not present in session data. Permission denied. Check command Permission denied. 
ERROR - 2024-02-25 13:10:13,397 - Trace:lexios/core/lexios_main.py:_build_thread:474:  lexios. at build_thread: __init__() takes from 1 to 3 positional arguments but 4 were given.
ERROR - 2024-02-25 13:10:13,430 - Trace:lexios/core/lexios_main.py:_process_user_request:325:  At process user request. Trace:lexios/core/lexios_main.py:_build_thread:474:  lexios. at build_thread: __init__() takes from 1 to 3 positional arguments but 4 were given.
